Q1,Q2,Q3,Q4,Q5
0.629517,0.802224,0.402584,0.417295,-0.231266
-0.584360,-0.469758,-1.707528,-3.767248,-2.225327
1.421300,0.452398,-0.947916,1.084696,1.325508
0.475048,1.460429,-1.023732,-0.864201,-2.171750
1.605702,2.115548,2.214205,0.509930,0.234585
0.961012,0.639107,-0.186364,-0.988973,-0.421389
0.138863,1.312693,1.717118,0.858703,0.975638
0.015206,1.244367,0.664987,-0.455224,-1.404925
-0.351371,-1.040392,0.949322,2.304294,0.779644
0.527656,1.184362,-0.602794,0.409490,-0.317018
0.986048,0.739671,-0.134822,-0.135041,0.275009
0.620778,1.170682,-0.614346,0.833060,-0.054441
0.249177,0.878254,0.006124,0.231021,-0.135567
0.067619,0.223645,0.970329,0.975530,-0.675782
-0.843016,-1.759468,0.654320,-1.402874,-0.688406
0.599910,0.577325,0.676779,0.387023,1.067915
1.331857,-0.104649,2.302244,0.959324,0.842881
0.274539,-0.089132,-0.523382,0.309920,0.190494
0.296406,0.340541,0.262848,0.594176,-0.205849
0.298342,-0.169592,-0.100186,-0.547921,-0.744731
0.023522,0.489430,0.187424,-0.015920,0.331360
0.203069,-0.494181,-0.313412,-0.820263,-0.975064
0.532519,0.764733,0.729977,2.457242,0.603566
-0.404569,-0.459349,-0.288901,-0.231047,-0.058987
0.716291,0.905761,0.689887,0.783328,0.939660
0.064693,-0.297675,-0.631651,-0.798002,-0.672996
1.236060,0.578050,0.307621,0.093454,0.006299
-0.529070,-0.727509,-0.954804,-1.049924,-0.952607
-0.623719,0.390387,0.608744,-0.107163,0.385119
1.569054,0.975247,1.066334,0.927327,0.146866
1.678073,2.264499,2.925534,2.204111,2.459623
0.094352,2.130282,1.279539,1.854345,0.560319
1.736399,1.258947,2.126773,1.419792,0.777785
0.399394,0.609008,0.954026,0.236430,-0.102677
1.026378,2.019788,1.831500,0.757441,3.006164
0.594971,1.157166,1.123598,1.304697,0.860658
0.520084,0.582416,0.276422,0.105693,1.215949
1.156622,1.287270,1.251107,1.501587,1.646039
0.835882,3.141285,7.291154,2.398383,6.273923
0.631254,0.977850,1.860940,2.094603,1.173087
0.746901,0.809313,0.945802,1.116740,1.203111
4.346246,3.275849,2.215089,2.692347,3.038958
-0.178800,-1.102654,0.014307,-0.549710,-0.348059
0.831493,-0.098943,-0.536283,-1.028295,1.158514
-0.505909,-2.284759,-0.107721,0.340333,0.506481
-0.508078,-2.239258,-0.132608,-0.016505,0.292959
0.676744,0.832241,0.391436,0.255115,0.279366
1.124242,1.428214,1.446986,1.411274,0.893769
0.895811,1.803691,1.112795,0.989437,0.533731
1.605562,0.029801,0.844006,0.697438,1.245270
1.756716,2.217353,2.820347,2.080150,0.917748
-0.711310,1.681506,1.213721,-1.742634,-1.463731
1.017240,1.114552,0.232936,0.478303,1.303679
1.192953,1.568376,1.059966,1.388616,0.716156
0.041336,0.273012,0.127200,-0.116012,-0.576895
1.146490,1.210576,1.029803,1.659072,1.116514
0.679624,1.238063,0.473586,1.304830,0.658771
2.909293,1.628768,1.241063,1.171351,1.580812
1.139252,1.177909,0.839072,1.401000,0.871108
1.335813,1.685716,1.293361,-0.162717,5.938151
0.871010,0.424355,0.197338,0.557765,0.720460
-1.069943,-1.324423,-0.984690,-1.299949,1.373730
0.514630,1.252097,-0.956651,-0.753851,0.297097
1.799591,1.552482,1.013584,0.668194,0.495053
1.227713,1.356813,1.692790,0.653337,1.117281
0.455710,-0.291749,-0.191050,0.213254,-0.227193
0.172494,-0.275588,-0.371764,-0.429929,-0.195051
0.107574,0.675808,0.544895,-1.066373,0.105969
0.272670,-0.267749,-0.462637,-0.028225,0.052207
-0.057243,0.780612,0.440717,-0.691102,0.060898
-0.085075,1.308086,1.344841,3.619920,-0.063061
2.755257,2.502652,2.223589,2.292296,2.021200
-1.118704,-0.291115,-0.765835,-1.518366,-1.357729
0.742194,0.212087,0.415107,0.142241,-0.206922
0.234222,0.985963,1.968331,1.204441,1.854812
0.855075,-0.016512,0.322461,0.180139,-0.446239
0.578817,0.454622,0.482406,0.346450,0.132600
-0.009793,0.029861,-0.189312,-0.250272,-0.038827
0.138921,0.291828,0.027163,0.369941,0.169001
0.391440,0.525467,0.073626,0.609073,0.382665
3.031442,1.955674,2.159457,2.444355,2.173474
0.304853,0.192399,-0.259280,-0.128352,0.107087
0.517355,0.721171,0.256842,0.259157,0.558080
1.788736,1.700032,2.426279,2.865098,2.727670
0.412038,0.897712,0.196372,0.901460,-0.651710
0.830423,0.902274,0.650806,0.573212,1.016828
1.573451,1.175439,2.212313,2.463963,2.888815
0.100011,0.462773,0.286091,0.249338,-0.256884
0.112337,0.212104,-0.631172,-0.577836,-0.449272
-0.928280,-0.829345,-1.241998,-1.486260,-1.458768
-0.638786,-0.094180,-1.128819,-0.732162,-1.027951
-1.023169,-0.866895,-1.380862,-1.756098,-1.650368
0.292765,0.298816,-0.227101,-0.132288,0.406184
1.736699,1.086176,1.126528,0.992761,0.585192
0.300248,0.379524,-0.075840,-0.117617,0.461251
0.788030,2.312833,1.056876,0.773646,0.842536
0.011889,-0.247879,-0.332212,-0.530431,-0.170830
0.913055,1.083603,0.949735,0.234548,1.109207
0.946932,0.926790,0.978276,0.252750,1.218264
0.123427,0.717080,0.223533,0.211419,0.362363
1.269138,0.663544,0.666588,0.742194,0.484937
-1.957795,-1.689304,-1.276362,-1.196759,0.172685
-0.322926,-0.572356,-0.559240,-0.229800,-0.593893
0.061078,-0.399705,-0.450741,-0.152696,-0.742941
0.163326,0.097025,-1.037080,1.184544,-1.559872
